id,timezone_offset,type,unit,timestamp,value
,-25200,,rmssd,2023-05-20 00:03:30+00:00,43.0
,-25200,,rmssd,2023-05-20 00:08:30+00:00,51.0
,-25200,,rmssd,2023-05-20 00:13:30+00:00,67.0
,-25200,,rmssd,2023-05-20 00:18:30+00:00,69.0
,-25200,,rmssd,2023-05-20 00:23:30+00:00,68.0
,-25200,,rmssd,2023-05-20 00:28:30+00:00,62.0
,-25200,,rmssd,2023-05-20 00:33:30+00:00,41.0
,-25200,,rmssd,2023-05-20 00:38:30+00:00,31.0
,-25200,,rmssd,2023-05-20 00:43:30+00:00,32.0
,-25200,,rmssd,2023-05-20 00:48:30+00:00,30.0
,-25200,,rmssd,2023-05-20 00:53:30+00:00,18.0
,-25200,,rmssd,2023-05-20 00:58:30+00:00,27.0
,-25200,,rmssd,2023-05-20 01:03:30+00:00,23.0
,-25200,,rmssd,2023-05-20 01:08:30+00:00,36.0
,-25200,,rmssd,2023-05-20 01:13:30+00:00,42.0
,-25200,,rmssd,2023-05-20 01:18:30+00:00,38.0
,-25200,,rmssd,2023-05-20 01:23:30+00:00,43.0
,-25200,,rmssd,2023-05-20 01:28:30+00:00,48.0
,-25200,,rmssd,2023-05-20 01:33:30+00:00,42.0
,-25200,,rmssd,2023-05-20 01:38:30+00:00,39.0
,-25200,,rmssd,2023-05-20 01:43:30+00:00,52.0
,-25200,,rmssd,2023-05-20 01:48:30+00:00,74.0
,-25200,,rmssd,2023-05-20 01:53:30+00:00,60.0
,-25200,,rmssd,2023-05-20 01:58:30+00:00,56.0
,-25200,,rmssd,2023-05-20 02:03:30+00:00,66.0
,-25200,,rmssd,2023-05-20 02:08:30+00:00,75.0
,-25200,,rmssd,2023-05-20 02:13:30+00:00,87.0
,-25200,,rmssd,2023-05-20 02:18:30+00:00,74.0
,-25200,,rmssd,2023-05-20 02:23:30+00:00,80.0
,-25200,,rmssd,2023-05-20 02:28:30+00:00,64.0
,-25200,,rmssd,2023-05-20 02:33:30+00:00,49.0
,-25200,,rmssd,2023-05-20 02:38:30+00:00,39.0
,-25200,,rmssd,2023-05-20 02:43:30+00:00,21.0
,-25200,,rmssd,2023-05-20 02:48:30+00:00,18.0
,-25200,,rmssd,2023-05-20 02:53:30+00:00,38.0
,-25200,,rmssd,2023-05-20 02:58:30+00:00,37.0
,-25200,,rmssd,2023-05-20 03:03:30+00:00,26.0
,-25200,,rmssd,2023-05-20 03:08:30+00:00,45.0
,-25200,,rmssd,2023-05-20 03:13:30+00:00,49.0
,-25200,,rmssd,2023-05-20 03:18:30+00:00,67.0
,-25200,,rmssd,2023-05-20 03:23:30+00:00,72.0
,-25200,,rmssd,2023-05-20 03:28:30+00:00,24.0
,-25200,,rmssd,2023-05-20 03:53:30+00:00,15.0
,-25200,,rmssd,2023-05-20 03:58:30+00:00,12.0
,-25200,,rmssd,2023-05-20 04:03:30+00:00,13.0
,-25200,,rmssd,2023-05-20 04:08:30+00:00,16.0
,-25200,,rmssd,2023-05-20 04:33:30+00:00,13.0
,-25200,,rmssd,2023-05-20 04:43:30+00:00,16.0
,-25200,,rmssd,2023-05-20 04:48:30+00:00,15.0
,-25200,,rmssd,2023-05-20 04:53:30+00:00,16.0
,-25200,,rmssd,2023-05-20 04:58:30+00:00,17.0
,-25200,,rmssd,2023-05-20 05:03:30+00:00,19.0
,-25200,,rmssd,2023-05-20 05:08:30+00:00,17.0
,-25200,,rmssd,2023-05-20 05:13:30+00:00,20.0
,-25200,,rmssd,2023-05-20 05:18:30+00:00,18.0
,-25200,,rmssd,2023-05-20 05:23:30+00:00,21.0
,-25200,,rmssd,2023-05-20 05:28:30+00:00,23.0
,-25200,,rmssd,2023-05-20 05:33:30+00:00,18.0
,-25200,,rmssd,2023-05-20 05:38:30+00:00,15.0
,-25200,,rmssd,2023-05-20 05:43:30+00:00,21.0
,-25200,,rmssd,2023-05-20 05:48:30+00:00,26.0
,-25200,,rmssd,2023-05-20 05:53:30+00:00,49.0
,-25200,,rmssd,2023-05-20 05:58:30+00:00,39.0
,-25200,,rmssd,2023-05-20 06:03:30+00:00,28.0
,-25200,,rmssd,2023-05-20 06:08:30+00:00,27.0
,-25200,,rmssd,2023-05-20 06:13:30+00:00,28.0
,-25200,,rmssd,2023-05-20 06:18:30+00:00,35.0
,-25200,,rmssd,2023-05-20 06:23:30+00:00,37.0
,-25200,,rmssd,2023-05-20 06:28:30+00:00,26.0
,-25200,,rmssd,2023-05-20 06:33:30+00:00,50.0
,-25200,,rmssd,2023-05-20 06:38:30+00:00,49.0
,-25200,,rmssd,2023-05-20 06:43:30+00:00,45.0
,-25200,,rmssd,2023-05-20 06:48:30+00:00,43.0
,-25200,,rmssd,2023-05-20 06:53:30+00:00,40.0
,-25200,,rmssd,2023-05-20 06:58:30+00:00,58.0
,-25200,,rmssd,2023-05-20 07:03:30+00:00,45.0
,-25200,,rmssd,2023-05-20 07:08:30+00:00,45.0
,-25200,,rmssd,2023-05-20 07:13:30+00:00,38.0
,-25200,,rmssd,2023-05-20 07:18:30+00:00,47.0
,-25200,,rmssd,2023-05-20 07:23:30+00:00,40.0
,-25200,,rmssd,2023-05-20 07:28:30+00:00,39.0
,-25200,,rmssd,2023-05-20 07:33:30+00:00,36.0
,-25200,,rmssd,2023-05-20 07:38:30+00:00,44.0
,-25200,,rmssd,2023-05-20 07:43:30+00:00,43.0
,-25200,,rmssd,2023-05-20 07:48:30+00:00,40.0
,-25200,,rmssd,2023-05-20 07:53:30+00:00,59.0
,-25200,,rmssd,2023-05-20 07:58:30+00:00,44.0
,-25200,,rmssd,2023-05-20 08:03:30+00:00,40.0
,-25200,,rmssd,2023-05-20 08:08:30+00:00,30.0
,-25200,,rmssd,2023-05-20 08:13:30+00:00,31.0
,-25200,,rmssd,2023-05-20 08:18:30+00:00,34.0
,-25200,,rmssd,2023-05-20 08:23:30+00:00,33.0
,-25200,,rmssd,2023-05-20 08:28:30+00:00,48.0
,-25200,,rmssd,2023-05-20 08:33:30+00:00,40.0
,-25200,,rmssd,2023-05-20 08:38:30+00:00,37.0
,-25200,,rmssd,2023-05-20 08:43:30+00:00,31.0
,-25200,,rmssd,2023-05-20 08:48:30+00:00,38.0
,-25200,,rmssd,2023-05-20 08:53:30+00:00,35.0
,-25200,,rmssd,2023-05-20 08:58:30+00:00,38.0
,-25200,,rmssd,2023-05-20 09:03:30+00:00,38.0
,-25200,,rmssd,2023-05-20 09:08:30+00:00,48.0
,-25200,,rmssd,2023-05-20 09:13:30+00:00,62.0
,-25200,,rmssd,2023-05-20 09:18:30+00:00,58.0
,-25200,,rmssd,2023-05-20 09:23:30+00:00,29.0
,-25200,,rmssd,2023-05-20 09:28:30+00:00,22.0
,-25200,,rmssd,2023-05-20 09:33:30+00:00,34.0
,-25200,,rmssd,2023-05-20 09:38:30+00:00,25.0
,-25200,,rmssd,2023-05-20 09:43:30+00:00,33.0
,-25200,,rmssd,2023-05-20 09:48:30+00:00,37.0
,-25200,,rmssd,2023-05-20 09:53:30+00:00,35.0
,-25200,,rmssd,2023-05-20 09:58:30+00:00,34.0
,-25200,,rmssd,2023-05-20 10:03:30+00:00,40.0
,-25200,,rmssd,2023-05-20 10:08:30+00:00,28.0
,-25200,,rmssd,2023-05-20 10:13:30+00:00,35.0
,-25200,,rmssd,2023-05-20 10:18:30+00:00,35.0
,-25200,,rmssd,2023-05-20 10:23:30+00:00,41.0
,-25200,,rmssd,2023-05-20 10:28:30+00:00,60.0
,-25200,,rmssd,2023-05-20 10:33:30+00:00,38.0
,-25200,,rmssd,2023-05-20 10:38:30+00:00,50.0
,-25200,,rmssd,2023-05-20 10:43:30+00:00,33.0
,-25200,,rmssd,2023-05-20 10:48:30+00:00,37.0
,-25200,,rmssd,2023-05-20 10:53:30+00:00,42.0
,-25200,,rmssd,2023-05-20 10:58:30+00:00,41.0
,-25200,,rmssd,2023-05-20 11:03:30+00:00,40.0
,-25200,,rmssd,2023-05-20 11:08:30+00:00,34.0
,-25200,,rmssd,2023-05-20 11:13:30+00:00,41.0
,-25200,,rmssd,2023-05-20 11:18:30+00:00,42.0
,-25200,,rmssd,2023-05-20 11:23:30+00:00,36.0
,-25200,,rmssd,2023-05-20 11:28:30+00:00,33.0
,-25200,,rmssd,2023-05-20 11:33:30+00:00,24.0
,-25200,,rmssd,2023-05-20 11:38:30+00:00,43.0
,-25200,,rmssd,2023-05-20 11:43:30+00:00,31.0
,-25200,,rmssd,2023-05-20 11:48:30+00:00,30.0
,-25200,,rmssd,2023-05-20 11:53:30+00:00,56.0
,-25200,,rmssd,2023-05-20 11:58:30+00:00,47.0
,-25200,,rmssd,2023-05-20 12:03:30+00:00,53.0
,-25200,,rmssd,2023-05-20 12:08:30+00:00,63.0
,-25200,,rmssd,2023-05-20 12:13:30+00:00,62.0
,-25200,,rmssd,2023-05-20 12:18:30+00:00,57.0
,-25200,,rmssd,2023-05-20 12:23:30+00:00,59.0
,-25200,,rmssd,2023-05-20 12:28:30+00:00,61.0
,-25200,,rmssd,2023-05-20 12:33:30+00:00,57.0
,-25200,,rmssd,2023-05-20 12:38:30+00:00,46.0
,-25200,,rmssd,2023-05-20 12:43:30+00:00,73.0
,-25200,,rmssd,2023-05-20 12:48:30+00:00,69.0
,-25200,,rmssd,2023-05-20 12:53:30+00:00,70.0
,-25200,,rmssd,2023-05-20 12:58:30+00:00,75.0
,-25200,,rmssd,2023-05-20 13:03:30+00:00,59.0
,-25200,,rmssd,2023-05-20 13:08:30+00:00,46.0
,-25200,,rmssd,2023-05-20 13:13:30+00:00,70.0
,-25200,,rmssd,2023-05-20 13:18:30+00:00,27.0
,-25200,,rmssd,2023-05-20 13:23:30+00:00,38.0
,-25200,,rmssd,2023-05-20 13:28:30+00:00,42.0
,-25200,,rmssd,2023-05-20 13:33:30+00:00,57.0
,-25200,,rmssd,2023-05-20 13:38:30+00:00,40.0
,-25200,,rmssd,2023-05-20 13:43:30+00:00,49.0
,-25200,,rmssd,2023-05-20 13:48:30+00:00,56.0
,-25200,,rmssd,2023-05-20 13:53:30+00:00,63.0
,-25200,,rmssd,2023-05-20 13:58:30+00:00,70.0
,-25200,,rmssd,2023-05-20 14:03:30+00:00,72.0
,-25200,,rmssd,2023-05-20 14:08:30+00:00,102.0
,-25200,,rmssd,2023-05-20 14:13:30+00:00,86.0
,-25200,,rmssd,2023-05-20 14:18:30+00:00,94.0
,-25200,,rmssd,2023-05-20 14:23:30+00:00,93.0
,-25200,,rmssd,2023-05-20 14:28:30+00:00,65.0
,-25200,,rmssd,2023-05-21 05:10:31+00:00,11.0
,-25200,,rmssd,2023-05-21 05:15:31+00:00,16.0
,-25200,,rmssd,2023-05-21 05:20:31+00:00,15.0
,-25200,,rmssd,2023-05-21 05:25:31+00:00,15.0
,-25200,,rmssd,2023-05-21 05:30:31+00:00,24.0
,-25200,,rmssd,2023-05-21 05:35:31+00:00,22.0
,-25200,,rmssd,2023-05-21 05:40:31+00:00,26.0
,-25200,,rmssd,2023-05-21 05:45:31+00:00,44.0
,-25200,,rmssd,2023-05-21 05:50:31+00:00,38.0
,-25200,,rmssd,2023-05-21 05:55:31+00:00,36.0
,-25200,,rmssd,2023-05-21 06:00:31+00:00,33.0
,-25200,,rmssd,2023-05-21 06:05:31+00:00,34.0
,-25200,,rmssd,2023-05-21 06:10:31+00:00,41.0
,-25200,,rmssd,2023-05-21 06:15:31+00:00,46.0
,-25200,,rmssd,2023-05-21 06:20:31+00:00,29.0
,-25200,,rmssd,2023-05-21 06:25:31+00:00,32.0
,-25200,,rmssd,2023-05-21 06:30:31+00:00,30.0
,-25200,,rmssd,2023-05-21 06:35:31+00:00,32.0
,-25200,,rmssd,2023-05-21 06:40:31+00:00,27.0
,-25200,,rmssd,2023-05-21 06:45:31+00:00,32.0
